catalogue_entry,titles_names,catalog level,classification1,classification2,Material,description_notes,inscription/ marks,measurements,Exhibition_hall,periods,find spot,creator,ownership,collecting history,contributor_type,location,photo,Unnamed: 19,Unnamed: 20
25,TSUN (wine vessel),item,Bronze,Containers,metalwork; bronze,"SQUARE .On the shoulder four elephant and four stag heads are modelled,  The vessel has eight flanges。。",Inscribed,H 48*2 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,yes,,
26,P‘OU (? wine vessel),item,Bronze,Containers,metalwork; bronze,,,H20 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,yes,,
27,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H33.3 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,THE CHINESE GOVERNMENT,,government,China,,,
28,TING (caldron),item,Bronze,Containers,metalwork; bronze,SQUARE,Inscribed,H27.5 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,yes,,
29,P‘OU (? wine vessel),item,Bronze,Containers,metalwork; bronze,,,H17.6 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,,,
30,HO (wine vessel),item,Bronze,Containers,metalwork; bronze,SQUARE. Cover missing,,H17.5 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,,,
31,HO (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H27.3 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,yes,,
32,LEI (wine vessel) and cover,item,Bronze,Containers,metalwork; bronze,SQUARE,,H 26.4 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,,,
33,TING (caldron),item,Bronze,Containers,metalwork; bronze,SQUARE,Inscribed,H 21.2 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,yes,,
34,LEI (wine vessel),item,Bronze,Containers,metalwork; bronze,,,H23.2 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,yes,,
35,TING (caldron),item,Bronze,Containers,metalwork; bronze,,Inscribed,H31.7 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE CHINESE GOVERNMENT,,government,China,,,
