catalogue_entry,titles_names,catalog level,classification1,classification2,Material,description_notes,inscription/ marks,measurements,Exhibition_hall,periods,find spot,creator,ownership,collecting history,contributor_type,location,photo,Unnamed: 19,Unnamed: 20
319C,KU,,Bronze,Containers,metalwork; bronze,"SET OF SACRIFICIAL WINE VESSELS AND ALTAR TABLE,",Inscribed,H. 20.9 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,"Found near Pao-chi, Shensi, in 1901",,"THE METROPOLITAN MUSEUM OF ART, New York",From the Tuan Fang Collection,museum,"New York, U.S.A.",yes,,
319D,KU,,Bronze,Containers,metalwork; bronze,"SET OF SACRIFICIAL WINE VESSELS AND ALTAR TABLE,",Inscribed,H. 34 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,"Found near Pao-chi, Shensi, in 1901",,"THE METROPOLITAN MUSEUM OF ART, New York",From the Tuan Fang Collection,museum,"New York, U.S.A.",yes,,
319E,HO,,Bronze,Containers,metalwork; bronze,"SET OF SACRIFICIAL WINE VESSELS AND ALTAR TABLE,",Inscribed,H. 28.6 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,"Found near Pao-chi, Shensi, in 1901",,"THE METROPOLITAN MUSEUM OF ART, New York",From the Tuan Fang Collection,museum,"New York, U.S.A.",yes,,
319F,CHIA,,Bronze,Containers,metalwork; bronze,"SET OF SACRIFICIAL WINE VESSELS AND ALTAR TABLE,",Inscribed,H. 32.4 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,"Found near Pao-chi, Shensi, in 1901",,"THE METROPOLITAN MUSEUM OF ART, New York",From the Tuan Fang Collection,museum,"New York, U.S.A.",yes,,
319G,CHÜEH,,Bronze,Containers,metalwork; bronze,"SET OF SACRIFICIAL WINE VESSELS AND ALTAR TABLE,",Inscribed,H. 25 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,"Found near Pao-chi, Shensi, in 1901",,"THE METROPOLITAN MUSEUM OF ART, New York",From the Tuan Fang Collection,museum,"New York, U.S.A.",yes,,
319H,CHIO,,Bronze,Containers,metalwork; bronze,"SET OF SACRIFICIAL WINE VESSELS AND ALTAR TABLE,",Inscribed,H. 20 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,"Found near Pao-chi, Shensi, in 1901",,"THE METROPOLITAN MUSEUM OF ART, New York",From the Tuan Fang Collection,museum,"New York, U.S.A.",yes,,
319I,CHIH,,Bronze,Containers,metalwork; bronze,"SET OF SACRIFICIAL WINE VESSELS AND ALTAR TABLE,",Inscribed,H. 14.5 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,"Found near Pao-chi, Shensi, in 1901",,"THE METROPOLITAN MUSEUM OF ART, New York",From the Tuan Fang Collection,museum,"New York, U.S.A.",yes,,
319J,CHIH,,Bronze,Containers,metalwork; bronze,"SET OF SACRIFICIAL WINE VESSELS AND ALTAR TABLE,",,H. 13.8 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,"Found near Pao-chi, Shensi, in 1901",,"THE METROPOLITAN MUSEUM OF ART, New York",From the Tuan Fang Collection,museum,"New York, U.S.A.",yes,,
319K,CHIH,,Bronze,Containers,metalwork; bronze,"SET OF SACRIFICIAL WINE VESSELS AND ALTAR TABLE,",Inscribed,H. 14.5 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,"Found near Pao-chi, Shensi, in 1901",,"THE METROPOLITAN MUSEUM OF ART, New York",From the Tuan Fang Collection,museum,"New York, U.S.A.",yes,,
319L,CHIH,,Bronze,Containers,metalwork; bronze,"SET OF SACRIFICIAL WINE VESSELS AND ALTAR TABLE,",Inscribed,H. 13 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,"Found near Pao-chi, Shensi, in 1901",,"THE METROPOLITAN MUSEUM OF ART, New York",From the Tuan Fang Collection,museum,"New York, U.S.A.",yes,,
320,HO (wine vessel),,Bronze,Containers,metalwork; bronze,,Inscribed,H. 73 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"KAICHIRO NEDZU, Tokyo",,private,"Tokyo, Japan",yes,,
321,RING,item,Jade,Ornamental Objects,gemstones; jade,"ivory-coloured jade, A notched flange around the centre",,Di. 8 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"MR. AND MRS. EDWARD SONNENSCHEIN, Glencoe, Ill.",,private,"Illinois, U.S.A.",,,
322,ARCHER'S THUMB RING,item,Jade,Utilitarian Objects,gemstones; jade,,,L. 4.4 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",,,
323,SWORD,item,Bronze,Weapons,metalwork; bronze,with lacquer scabbard,,L. 85 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"C. T. LOO, Paris",,private,"Paris, France",yes,,
324,ARCHER'S THUMB RING,item,Stones and Minerals,Utilitarian Objects,gemstones; turquoise,,,H. 4.5 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"M. CALMANN, Paris",,private,"Paris, France",,,
325,AWL HANDLE,item,Jade,Utilitarian Objects,gemstones; jade,mottled pale green and orange-coloured jade,,L. 6.5 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"MR. AND MRS. EDWARD SONNENSCHEIN, Glencoe, Ill.",,private,"Illinois, U.S.A.",yes,,
326,SPEAR HEAD,item,Jade,Ornamental Objects,gemstones; jade,white jade,,L. 20.9 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"MR. AND MRS. EDWARD SONNENSCHEIN, Glencoe, Ill.",,private,"Illinois, U.S.A.",,,
327,PARTS OF A DAGGER HANDLE,item,Jade,Ornamental Objects,gemstones; jade,,,L. 10 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",,,
328,PIECE OF CARVED AND ENGRAVED JADE,item,Jade,Ornamental Objects,gemstones; jade,,,H. 4.7 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",yes,,
329 & 332,PAIR OF PENDANTS (huang),set,Jade,Ceremonial Objects,gemstones; jade,,,W. 13 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",yes,,
330,GIRDLE ORNAMENTS (p'ei),item,Jade,Ceremonial Objects,gemstones; jade,A pair of geese,,H. 4.8 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",yes,,
331,TWO MALE FIGURES,item,Jade,Ornamental Objects,gemstones; jade,pale green jade,,H. 6.2 and 6.8 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
329 & 332,PAIR OF PENDANTS (huang),,Jade,Ceremonial Objects,gemstones; jade,,,W. 13 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",yes,,
333,BUCKLE,item,Jade,Ornamental Objects,gemstones; jade,"with the hook missing, now consisting of ten pieces, Ox-head finial",,L. 14.5 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",,,
334,CYLINDRICAL HANDLE,item,Jade,Utilitarian Objects,gemstones; jade,"ivory-coloured jade, Each end engraved with a silkworm pattern",,L. 15.9 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"MR. AND MRS. EDWARD SONNENSCHEIN, Glencoe, Ill.",,private,"Illinois, U.S.A.",,,
335,ORNAMENT,item,Jade,Ornamental Objects,gemstones; jade,in the form of a bird,,L. 4.4 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",yes,,
336,CICADA,item,Glass,,glass,,,L. 3.9 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",yes,,
337,CICADA,item,Jade,Ornamental Objects,gemstones; jade,white and green jade,,L. 6 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"MR. AND MRS. EDWARD SONNENSCHEIN, Glencoe, Ill.",,private,"Illinois, U.S.A.",yes,,
338,PI (ritual disk),item,Jade,Ceremonial Objects,gemstones; jade,Grain pattern,,Di. 16 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",,,
339,STAG,item,Jade,Ornamental Objects,gemstones; jade,dull green jade,,"H. 5.6 cm., L. 5.8 cm",1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"H. J. OPPENHEIM, London",,private,"London, U.K.",yes,,
340,FIGURE OF BUCK,item,Jade,Ornamental Objects,gemstones; jade,,,H. 5.7 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
341,PI (ritual disk),item,Jade,Ceremonial Objects,gemstones; jade,with two dragons on the rim,,W. 21.7 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"THE WILLIAM ROCKHILL NELSON GALLERY OF ART, Kansas City",,museum,"Kansas, U.S.A.",yes,,
342,BELT HOOK,item,Jade,Utilitarian Objects,gemstones; jade,,,L. 5.3 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",yes,,
343,PI (ritual disk),item,Jade,Ceremonial Objects,gemstones; jade,,,W. 17.6 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
344,ARCHER'S RING,item,Jade,Utilitarian Objects,gemstones; jade,,,H. 5.3 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"HEINRICH HARDT, Berlin",,private,"Berlin, Germany",,,
345,STAFF,item,Jade,Utilitarian Objects,gemstones; jade,,,L. 17.4 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",,,
346,EAR PICK,item,Jade,Utilitarian Objects,gemstones; jade,with fish handle,,L. 6.5 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",yes,,
347,PENDANT,item,Jade,Ornamental Objects,gemstones; jade,,,L. 5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",yes,,
348,HARE,item,Jade,Ornamental Objects,gemstones; jade,,,"H. 3.1 cm, L. 5.8 cm",1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
349,WOVEN GOLD CHAIN,item,Jade,Ornamental Objects,gemstones; jade,"with two amber and two jade beads, a pearl set in the fastening",,L. 71 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",yes,,
350,PIERCED PENDANT,item,Jade,Ornamental Objects,gemstones; jade,two confronted phoenixes and two dragons,,"H. 5.6 cm, W. 6.6 cm",1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"THE WILLIAM ROCKHILL NELSON GALLERY OF ART, Kansas City",,museum,"Kansas, U.S.A.",yes,,
351,CORMORANT AND FISH,item,Jade,Ornamental Objects,gemstones; jade,,,"H. 4 cm, W. 4.3 cm",1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
352,STAFF,item,Jade,Utilitarian Objects,gemstones; jade,ivory-coloured jade,,L. 22.8 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"MR. AND MRS. EDWARD SONNENSCHEIN, Glencoe, Ill.",,private,"Illinois, U.S.A.",,,
353,INCISED BELT ORNAMENT,item,Jade,Ornamental Objects,gemstones; jade,Archaic inscription on the reverse,,L. 3.4 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",,,
354,FINGER RING,item,Jade,Utilitarian Objects,gemstones; jade,,,H. 3.7 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"HEINRICH HARDT, Berlin",,private,"Berlin, Germany",,,
355,BEAD,item,Jade,Ornamental Objects,gemstones; jade,,,L. 6.4 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",yes,,
356&360,RITUAL PENDANT,set,Jade,Ornamental Objects,gemstones; jade,"in the form of a dragon, Pair with No. 360",,"H. 8 cm, L. 15.1 cm",1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
357,GIRDLE ORNAMENT (p'ei),item,Jade,Ceremonial Objects,gemstones; jade,,,Di. 5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"MR. AND MRS. EDWARD SONNENSCHEIN, Glencoe, Ill.",,private,"Illinois, U.S.A.",yes,,
358,ORNAMENT,item,Jade,Ornamental Objects,gemstones; jade,of tiger form,,L. 13.9 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"MRS. CHRISTIAN R. HOLMES, New York",,private,"New York, U.S.A.",yes,,
359,GIRDLE ORNAMENT (p'ei),item,Jade,Ceremonial Objects,gemstones; jade,,,Di. 5.4 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",yes,,
356&360,RITUAL PENDANT,,Jade,Ceremonial Objects,gemstones; jade,"in the form of a dragon, Pair with No. 356",,"H. 8 cm, L. 15.1 cm",1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
361,END OF A SWORD SCABBARD,item,Jade,Ornamental Objects,gemstones; jade,,,L. 4.2 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",,,
362,ARROW HEAD,item,Jade,Ornamental Objects,gemstones; jade,,,L. 8.3 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",yes,,
363,GIRDLE ORNAMENT,item,Jade,Ornamental Objects,gemstones; jade,,,L. 9.4 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",,,
364&365,PENDANT,set,Jade,Ornamental Objects,gemstones; jade,Pair with No. 365,,W. 13.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
364&365,PENDANT,,Jade,Ornamental Objects,gemstones; jade,Pair with No. 364,,W. 13.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
366,PLAQUE,item,Jade,Ornamental Objects,gemstones; jade,"thin brown jade, engraved with silkworm pattern",,"H. 5.9 cm, W. 6.2 cm",1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"MR. AND MRS. EDWARD SONNENSCHEIN, Glencoe, Ill.",,private,"Illinois, U.S.A.",,,
367,PLAQUE,item,Jade,Ornamental Objects,gemstones; jade,,,"L. 5.3 cm, W. 3.3 cm",1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
368,PENDANT,item,Jade,Ornamental Objects,gemstones; jade,"with interlaced pattern, green and brown jade",,L. 8.2 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"H. K. BURNET, Manningham, Yorks",,private,"Yorkshire, U.K.",,,
369,FISH PENDANT,item,Jade,Ornamental Objects,gemstones; jade,,,L. 11.5 cm,1 Shang-Yin or and  Zhou Dynasty,Qin and Han,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",yes,,
370,PENDANT,item,Jade,Ornamental Objects,gemstones; jade,"honey-coloured jade, decorated with entwined dragons in openwork",,H. 3 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"H. J. OPPENHEIM, London",,private,"London, U.K.",yes,,
371,DAGGER POMMEL,item,Jade,Utilitarian Objects,gemstones; jade,with interlaced design,,H 6.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
372,PLAQUE,item,Jade,Ornamental Objects,gemstones; jade,,,"L. 5.4 cm, W. 3.5 cm",1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
373,BELT ORNAMENT,item,Jade,Ornamental Objects,gemstones; jade,,,L. 4.5 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"CHANG NAI-CHI, Shanghai",,private,"Shanghai, China",,,
374,PAIR OF FISHES,set,Jade,Ornamental Objects,gemstones; jade,,,L. 13.7 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"A. SCHOENLICHT, The Hague, Holland",,private,"The Hague, Netherlands",yes,,
375,SWORD SCABBARD FITTING,item,Jade,Utilitarian Objects,gemstones; jade,,,L. 10 cm,1 Shang-Yin or and  Zhou Dynasty,Warring States,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
376,STAFF,item,Jade,Utilitarian Objects,gemstones; jade,"pale green jade, with engraved palm-stem design",,L. 12 cm,1 Shang-Yin or and  Zhou Dynasty,Spring and Autumn Annals,,,"MR. AND MRS. EDWARD SONNENSCHEIN, Glencoe, Ill.",,private,"Illinois, U.S.A.",yes,,
377,LIEN (casket),item,Bronze,Containers,metalwork; bronze,"Inlaid with gold, Cover missing",,H. 10.2 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE CHINESE GOVERNMENT,,government,China,,,
378,BUCKLE,item,Bronze,Costume Acessories,metalwork; bronze,Design reserved on gold ground and inlaid with silver,,L. 22.8 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MRS. CHRISTIAN R. HOLMES, New York",,private,"New York, U.S.A.",yes,,
379,PAIR OF CHARIOT FITTINGS,item,Bronze,Vehicles,metalwork; bronze,,,W. 10 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"C. T. LOO, Paris",,private,"Paris, France",,,
380,PAIR OF CHARIOT FITTINGS,item,Bronze,Vehicles,metalwork; bronze,,,L. 12.4 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"C. T. LOO, Paris",,private,"Paris, France",,,
381,PAIR OF CHARIOT FITTINGS,item,Bronze,Vehicles,metalwork; bronze,,,W. 10 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"C. T. LOO, Paris",,private,"Paris, France",,,
382,PAIR OF FINIALS,item,Bronze,Ornament,metalwork; bronze,"in the form of birds' heads, probably for a chair or chariot, Inlaid with silver。",,L. 19 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"From the LUCY MAUD BUCKINGHAM COLLECTION, Chicago",,private,"Illinois, U.S.A.",yes,,
383,SNAKE HEAD,item,Bronze,Sculptures,metalwork; bronze,Inlaid with gold and silver,,L. 6.2 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
384,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,Inlaid with gold and silver,,H. 23.5 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"C. T. LOO, Paris",,private,"Paris, France",yes,,
385,RING,item,Bronze,Ornament,metalwork; bronze,with inlaid gold and silver design,,Di. 16.7 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"THE HON. AND MRS. ROBERT WOODS BLISS, Washington, D.C.",,private,"Washington, D.C., U.S.A.",yes,,
386,STAFF-END,item,Bronze,Tools,metalwork; bronze,inlaid with gold and silver,,L. 9 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",yes,,
387,STAFF-END,item,Bronze,Tools,metalwork; bronze,"in form of dragon's head, inlaid with gold and silver",,H. 13.4 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"THE CLEVELAND MUSEUM OF ART, Cleveland, Ohio",,museum,"Ohio, U.S.A.",yes,,
388,BUCKLE,item,Bronze,Costume Acessories,metalwork; bronze,"with jade centre, Inlaid with gold and silver",,W. 8.3 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"From the LUCY MAUD BUCKINGHAM COLLECTION, Chicago",,private,"Illinois, U.S.A.",yes,,
389,SWORD,item,Bronze,Weapons,metalwork; bronze,"With gold inlaid inscription along the blade, turquoise and gold on the guard, and a jade disk pommel。",Inscribed,L. 53 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"MUSÉE DU LOUVRE, Paris",,museum,"Paris, France",yes,,
390,FRAME FOR A LOOM,item,Bronze,Tools,metalwork; bronze,Inlaid with gold,,"H. 19 cm, W. 44.2 cm",2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"C. T. LOO, Paris",,private,"Paris, France",yes,,
391,TING (caldron) and cover,item,Bronze,Containers,metalwork; bronze,Inlaid with silver,,H. 15.3 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"C. T. LOO, Paris",,private,"Paris, France",yes,,
392,APPLIQUÉ,item,Bronze,Ornament,metalwork; bronze,Inlaid with geometric carved design and crouching tiger,,L. 18.6 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"M. CALMANN, Paris",,private,"Paris, France",yes,,
393,FLAT HU (wine vessel),item,Bronze,Containers,metalwork; bronze,,,H. 32.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MALMÖ MUSEUM, Malmö, Sweden",,museum,"Malmö, Sweden",yes,,
394,PO SHAN LU (censer) and cover,item,Bronze,Furnishings,metalwork; bronze,,,H. 24.4 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MRS. CHRISTIAN R. HOLMES, New York",,private,"New York, U.S.A.",yes,,
395,LU (brazier),item,Bronze,Containers,metalwork; bronze,,,H. 21.9 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MRS. CHRISTIAN R. HOLMES, New York",,private,"New York, U.S.A.",yes,,
396,DAGGER AND SHEATH,item,Bronze,Weapons,metalwork; bronze,,,L. 30 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",,,
397,TUBE,item,Bronze,Tools,metalwork; bronze,"Inlaid with gold and silver, Japanese National Treasure B",,L. 27.9 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MARQUIS GORYU HOSOKAWA, Tokyo",,private,"Tokyo, Japan",yes,,
398,STAND,item,Bronze,Furnishings,metalwork; bronze,Inlaid with gold and silver,,"H. 6 cm, L. 12.3 cm, W. 10.6 cm",2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"THE NATIONAL MUSEUM, Stockholm",,museum,"Stockholm, Sweden",yes,,
399,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,,Di. 7 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"A. HELLSTRÖM, Mölndal, Sweden",,private,"Malmö, Sweden",,,
400,PO SHAN LU (censer),item,Bronze,Furnishings,metalwork; bronze,Inlaid with gold,,H. 19 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"THE GERMAN STATE MUSEUMS, Berlin",,museum,"Berlin, Germany",yes,,
401,MIRROR,item,Bronze,Furnishings,metalwork; bronze,,,Di. 10.4 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"THE GERMAN STATE MUSEUMS, Berlin",,museum,"Berlin, Germany",,,
402,LIEN (casket) and cover,item,Bronze,Containers,metalwork; bronze,Painted inside and on base,,H. 16.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,THE BRITISH MUSEUM (Eumorfopoulos Collection),,museum,"London, U.K.",yes,,
403,BUTT-END,item,Bronze,Weapons,metalwork; bronze,Inlaid with arabesques and characters in gold and silver,,H. 3.3 in,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,"Given to Chang Yü, in the State of An Ch'ang, by the Han Government",,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",yes,,
404,MIRROR,item,Bronze,Furnishings,metalwork; bronze,with four tigers in relief,,Di. 6 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,H.R.H. THE CROWN PRINCE OF SWEDEN,,private,"Stockholm, Sweden",,,
405,STANDING FIGURE,item,Metals,,metalwork; silver,Japanese National Treasure B,,H. 8.8 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MARQUIS GORYU HOSOKAWA, Tokyo",,private,"Tokyo, Japan",yes,,
406,HU (wine vessel) and cover,item,Bronze,Containers,metalwork; bronze,"Inlaid with silver, gold plated and glass inset",,H. 34 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",yes,,
407,"SMALL VESSEL AND COVER, ribbed",item,Bronze,Containers,metalwork; bronze,,,H. 8 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"ÖSTASIATISKA SAMLINGARNA, Stockholm",,museum,"Stockholm, Sweden",yes,,
408,BUTT-END OF A SPEAR,item,Bronze,Weapons,metalwork; bronze,with silver inlays,,L. 12.2 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"M. CALMANN, Paris",,private,"Paris, France",yes,,
409,TUBE,item,Bronze,Tools,metalwork; bronze,"Inlaid with gold and silver, Hunting scene",,L. 25.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"TOKYO FINE ARTS SCHOOL, Tokyo",,private,"Tokyo, Japan",yes,,
410,CUP,item,Metals,,metalwork; silver,Japanese National Treasure B,,W. 10.1 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MARQUIS GORYU HOSOKAWA, Tokyo",,private,"Tokyo, Japan",yes,,
411,CROSSBOW LOCK,item,Bronze,Weapons,metalwork; bronze,,,16.4 by 13.8 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,"Found at Lo-lang, N. Korea",,"THE IMPERIAL HOUSEHOLD MUSEUM, Tokyo",,museum,"Tokyo, Japan",,,
412,HU (wine vessel),item,Bronze,Containers,metalwork; bronze,gold and silver plated,,H. 45 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"From the LUCY MAUD BUCKINGHAM COLLECTION, Chicago",,private,"Illinois, U.S.A.",yes,,
413,CORNER-PIECE,item,Bronze,Tools,metalwork; bronze,Inlaid with silver,,H. 11 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",yes,,
414,TUBE,item,Bronze,Tools,metalwork; bronze,with silver inlay,,H. 10.5 cm,2 Warring States Han Dynasty Wei Sculpture,Qin and Han,,,"MALMÖ MUSEUM, Malmö, Sweden",,museum,"Stockholm, Sweden",,,
415,TUI (food vessel),item,Bronze,Containers,metalwork; bronze,Inlaid with silver and malachite,,H. 27 cm,2 Warring States Han Dynasty Wei Sculpture,Warring States,,,"A. STOCLET, Brussels",,private,"Brussels, Belgium",yes,,
